mean,std,max,min,ptp,rms,energy,abs_mean,argmax,argmin,fft_mean,fft_std,fft_max,fft_peak_bin,fft_energy,distance_cm,source_file,label
-2.95556640625,1374.1277448115266,8192.0,-7646.0,15838.0,1374.1309233233906,15468427628.0,561.33984375,70.0,236.0,23281.081052794874,122158.57343373474,3419200.39212608,174.0,63358981595848.016,27,l27.txt,laptop
-4.0997314453125,1328.7190026223057,8192.0,-7444.0,15636.0,1328.7253274200575,14463066077.0,529.7996826171875,70.0,236.0,22688.12059262723,118088.62842523707,3095738.565828727,174.0,59241288390517.01,27,l27.txt,laptop
-0.2991943359375,1351.7130594281641,8192.0,-7351.0,15543.0,1351.7130925406834,14967834907.0,545.8006591796875,106.0,271.0,20221.18470081096,120645.28995589598,3192202.6374642868,174.0,61308254880013.01,27,l27.txt,laptop
-11.6107177734375,1410.7133676828728,8192.0,-7774.0,15966.0,1410.761147227399,16304103543.0,556.7769775390625,30.0,195.0,23271.629462634028,125537.48275439814,3373439.7369053266,174.0,66786132403101.01,27,l27.txt,laptop
-9.5555419921875,1356.4015292262657,8192.0,-7231.0,15423.0,1356.4351871247359,15072595287.0,545.1114501953125,281.0,256.0,21236.608281441717,120907.69707487633,3260136.562489076,174.0,61740416453093.0,27,l27.txt,laptop
-7.8753662109375,1618.8813660706437,8192.0,-7546.0,15738.0,1618.9005215897953,21469912259.0,706.9715576171875,237.0,401.0,20599.638129054973,145054.59488317094,3932472.96672092,174.0,87942844868089.02,28,l28.txt,laptop
1.3106689453125,1552.32858771327,8177.0,-7175.0,15352.0,1552.329141028075,19740473443.0,679.0570068359375,436.0,458.0,18572.250681630536,139250.6401723525,3788767.9659635006,174.0,80857037055693.03,28,l28.txt,laptop
-5.8577880859375,1546.3600040496403,8072.0,-7076.0,15148.0,1546.3710989945666,19589231213.0,684.2271728515625,452.0,426.0,18339.673682169545,138738.55766225635,3796489.068197839,174.0,80238642960144.98,28,l28.txt,laptop
-5.3358154296875,1605.5375863881682,8192.0,-7468.0,15660.0,1605.5464528413513,21117168945.0,711.4759521484375,195.0,360.0,24528.941920229583,143215.14879281796,3491779.074830174,172.0,86496879381940.98,28,l28.txt,laptop
-6.471435546875,1620.9370685319968,8192.0,-7505.0,15697.0,1620.9499867729235,21524306818.0,716.056396484375,327.0,445.0,19355.395150616878,145412.3965989166,3934565.277724102,174.0,88164967075698.02,28,l28.txt,laptop
